                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 1.0194,                 0.6741,                 1.2136,                0.87341,                 0.8495,                0.89417,                0.58689,                 1.2178,                0.59659,                 1.3652,                0.00307,                0.00307,                0.00307
                     72,                 1.0203,                0.67057,                 1.2156,                0.87873,                 0.8415,                0.89583,                0.58356,                 1.2195,                0.59582,                 1.3682,               0.002971,               0.002971,               0.002971
                     73,                 1.0243,                0.67218,                 1.2118,                0.87362,                0.84837,                0.89819,                0.58641,                 1.2134,                0.59274,                  1.365,               0.002872,               0.002872,               0.002872
                     74,                 1.0167,                0.66417,                 1.2086,                0.88222,                0.83237,                0.89684,                0.58613,                 1.2107,                0.59104,                 1.3639,               0.002773,               0.002773,               0.002773
                     75,                 1.0122,                0.66942,                 1.2106,                0.87533,                0.84209,                0.89709,                0.58782,                 1.2088,                0.58945,                  1.362,               0.002674,               0.002674,               0.002674
                     76,                0.99643,                0.65332,                 1.2011,                0.83523,                0.88098,                0.89796,                 0.5921,                  1.207,                0.58759,                 1.3617,               0.002575,               0.002575,               0.002575
                     77,                 1.0026,                0.65294,                 1.2001,                0.84828,                0.87311,                0.89673,                0.59209,                 1.2038,                0.58366,                 1.3591,               0.002476,               0.002476,               0.002476
                     78,                0.98896,                0.64875,                 1.1959,                0.85051,                0.86857,                 0.8959,                0.58933,                 1.2023,                0.58277,                 1.3586,               0.002377,               0.002377,               0.002377
                     79,                0.98793,                0.63989,                 1.1929,                0.86279,                0.86689,                0.90039,                0.59403,                 1.2007,                0.58119,                 1.3604,               0.002278,               0.002278,               0.002278
                     80,                0.98008,                 0.6405,                 1.1943,                0.85585,                 0.8746,                 0.9031,                 0.5975,                 1.2008,                 0.5809,                 1.3614,               0.002179,               0.002179,               0.002179
                     81,                0.96997,                0.63657,                 1.1855,                 0.8495,                0.89078,                0.90494,                0.59618,                 1.2004,                0.57877,                 1.3611,                0.00208,                0.00208,                0.00208
                     82,                0.97181,                 0.6276,                 1.1797,                0.87188,                 0.8636,                  0.904,                 0.5933,                 1.2017,                0.57932,                 1.3607,               0.001981,               0.001981,               0.001981
                     83,                0.95833,                0.62148,                  1.171,                0.88256,                0.86009,                0.90481,                0.59423,                  1.201,                0.57916,                 1.3602,               0.001882,               0.001882,               0.001882
                     84,                0.95133,                0.61546,                 1.1699,                0.87391,                 0.8672,                0.90359,                  0.592,                 1.1995,                0.57891,                 1.3596,               0.001783,               0.001783,               0.001783
                     85,                0.95467,                 0.6167,                 1.1727,                0.87666,                0.87421,                0.90296,                0.59419,                 1.1989,                 0.5789,                 1.3606,               0.001684,               0.001684,               0.001684
                     86,                0.93703,                0.60681,                 1.1646,                0.87729,                0.87322,                0.90332,                0.59525,                 1.1978,                0.57806,                 1.3602,               0.001585,               0.001585,               0.001585
                     87,                0.92883,                0.60232,                 1.1606,                  0.871,                0.87691,                 0.9036,                0.59296,                 1.1991,                0.57765,                 1.3615,               0.001486,               0.001486,               0.001486
                     88,                0.92507,                0.59982,                 1.1552,                0.87366,                0.88001,                0.90355,                0.59295,                 1.1996,                0.57847,                 1.3623,               0.001387,               0.001387,               0.001387
                     89,                0.92577,                0.59193,                 1.1533,                0.87836,                0.88133,                  0.904,                0.59137,                 1.2002,                 0.5793,                 1.3632,               0.001288,               0.001288,               0.001288
                     90,                0.92121,                0.59583,                 1.1526,                 0.8807,                0.87943,                0.90438,                0.59193,                 1.2003,                0.57813,                 1.3646,               0.001189,               0.001189,               0.001189
                     91,                0.91404,                0.48975,                 1.1555,                0.88256,                0.88131,                0.90748,                0.59078,                 1.2003,                0.57629,                 1.3654,                0.00109,                0.00109,                0.00109
                     92,                0.89228,                0.47113,                 1.1377,                0.87935,                0.88237,                0.90722,                0.59146,                 1.1987,                0.57592,                  1.364,               0.000991,               0.000991,               0.000991
                     93,                0.87669,                0.46747,                 1.1336,                0.88025,                0.88279,                0.90766,                  0.592,                 1.1977,                0.57651,                 1.3639,               0.000892,               0.000892,               0.000892
                     94,                0.86539,                0.45643,                 1.1266,                0.88201,                0.88331,                 0.9077,                0.59196,                 1.1963,                0.57621,                 1.3631,               0.000793,               0.000793,               0.000793
                     95,                 0.8578,                0.45134,                  1.125,                0.87685,                0.88344,                0.90736,                0.59251,                 1.1948,                0.57538,                 1.3626,               0.000694,               0.000694,               0.000694
                     96,                0.84594,                0.44532,                 1.1156,                0.87582,                0.88491,                0.90728,                 0.5936,                 1.1934,                0.57496,                 1.3628,               0.000595,               0.000595,               0.000595
                     97,                0.83898,                0.44065,                 1.1127,                0.87716,                0.88444,                0.90768,                0.59311,                 1.1925,                0.57497,                 1.3629,               0.000496,               0.000496,               0.000496
                     98,                 0.8354,                 0.4427,                 1.1107,                0.87205,                0.88668,                0.90676,                0.59329,                 1.1921,                0.57539,                 1.3636,               0.000397,               0.000397,               0.000397
                     99,                0.82797,                0.43514,                 1.1051,                0.87306,                0.88429,                0.90752,                0.59355,                 1.1911,                0.57616,                 1.3636,               0.000298,               0.000298,               0.000298
                    100,                0.81732,                0.43181,                 1.0974,                0.87701,                0.88321,                0.90761,                0.59395,                 1.1911,                0.57634,                  1.364,               0.000199,               0.000199,               0.000199
